"LINK_NAME","LINK_URL","LINK_CATEGORY","EXTERNAL_TRACKING","CREATED_DATE_","MODIFIED_DATE_","IOS_LINK_URL","ANDROID_LINK_URL"
"Update_Subscriptions","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","EmailSettings",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_update_preferences","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","EmailSettings",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Update_Email_Settings","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","EmailSettings",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"social_twitter","https://twitter.com/alaskaair","Twitter","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"social_facebook","http://www.facebook.com/alaskaairlines","Social_FB","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"social_instagram","https://www.instagram.com/alaskaair/","Social_Instagram","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"social_pinterest","https://www.pinterest.com/AlaskaAirlines/","Social_Pinterest","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Social_Twitter","https://twitter.com/alaskaair","Twitter","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Social_Facebook","http://www.facebook.com/alaskaairlines","Social_FB","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Social_Instagram","https://www.instagram.com/alaskaair/","Social_Instagram","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Social_Pinterest","https://www.pinterest.com/AlaskaAirlines/","Social_Pinterest","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"Social_Facebook_c49","https://www.facebook.com/AlaskaAirClub49","Social_FB","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_myaccount_text","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx?CurrentForm=UCSignInStart","MyAccount",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_preferences_text","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","EmailSettings",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_contactus_text","https://www.alaskaair.com/content/about-us/help-contact","Contact",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_twitter_img","https://twitter.com/alaskaair","Twitter","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_facebook_img","https://www.facebook.com/alaskaairlines","Social_FB","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_instagram_img","https://www.instagram.com/alaskaair/","Social_Instagram","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_unsubscribe_text","https://www.alaskaair.com/betaaccount/manage-preferences/?ContactId=${CUSTOMER_ID_}","Unsubscribe",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_privacypolicy_text","https://www.alaskaair.com/content/legal/privacy-policy?","PrivacyPolicy",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_logo_img","https://www.alaskaair.com/","Home",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_facebookc49_img","https://www.facebook.com/AlaskaAirClub49","Social_FB","disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_travelagentsignin_text","https://updates.alaskaair.com/pub/cc?_ri_=X0Gzc2X%3DAQpglLjHJlYQGi8mYTcCGrajDyX9NXzau1Azbt3A1LRj8JpN7zaR2RBnrLLubrAhuhVXtpKX%3DTCRABTRY&_ei_=Eq2tf9zs59idfPO1Sc_9BbkSqJZenqMtd839RVIat8vJ-jnZGVvuTtpx4nPx-_F-6e50dqAUyDBex7vHHsmKdJb1yVuyXvwZG6cq.&_di_=pum4cd4c827saa901o7of2nnbtsp28spmrenijh1t0v398ufop50",,"disable","2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_flightdeals_text","https://www.alaskaair.com/content/deals/flights","Deals",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_easybizsignin_text","https://easybiz.alaskaair.com/signin","Deals",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"footer_managereservations_text","https://www.alaskaair.com/booking/reservation-lookup","ManageReservation",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"primary_all_img","https://www.alaskaair.com/planbook/?discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-01 18:55:47","2020-12-09 15:31:44",,
"primary_all_cta","https://www.alaskaair.com/planbook/?discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-01 18:55:47","2020-12-09 15:31:47",,
"secondary_b_1_memsthatearned_earnonground_text","https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?","Partner_Everyday",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_b_2_memsthatdidntearn_earnonground_text","https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?","Partner_Everyday",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_b_3_nonmems_joinmp_text","https://www.alaskaair.com/account/join-mileage-plan?","JoinMP",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_b_3_nonmems_earnonground_text","https://www.alaskaair.com/content/mileage-plan/how-to-earn-miles/everyday-partners?","Partner_Everyday",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_c_mi_poll_1_beach","https://mi.alaskaair.com/p/cp/667379ada5f3dfd4/c?mi_u=${RIID_?c}&url=https%3A%2F%2Fmi.alaskaair.com%2Fp%2Frp%2Fcf1a3638eb3dba28%2Furl","Book",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_c_mi_poll_2_mountaains","https://mi.alaskaair.com/p/cp/667379ada5f3dfd4/c?mi_u=${RIID_?c}&url=https%3A%2F%2Fmi.alaskaair.com%2Fp%2Frp%2Fa29122d8dc290f11%2Furl","Book",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_c_mi_poll_3_city","https://mi.alaskaair.com/p/cp/667379ada5f3dfd4/c?mi_u=${RIID_?c}&url=https%3A%2F%2Fmi.alaskaair.com%2Fp%2Frp%2F55504ac0306c3a6b%2Furl","Book",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_c_mi_poll_4_wild","https://mi.alaskaair.com/p/cp/667379ada5f3dfd4/c?mi_u=${RIID_?c}&url=https%3A%2F%2Fmi.alaskaair.com%2Fp%2Frp%2F0fbd7f2789d7fc9b%2Furl","Book",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_c_mi_poll_booknow_text","https://www.alaskaair.com/planbook/?discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-01 18:55:47","2020-12-09 15:31:51",,
"secondary_d_nlc_learnmore_text","https://www.alaskaair.com/content/advisories/coronavirus","Info",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_f_oneworld_img","https://www.alaskaair.com/content/oneworld/alaska-airlines-to-join-oneworld","Info",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_f_oneworld_somuchmore_text","https://www.alaskaair.com/content/oneworld/alaska-airlines-to-join-oneworld","Info",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_f_oneworld_joinmp_text","https://www.alaskaair.com/account/join-mileage-plan?","JoinMP",,"2020-11-01 18:55:47","2020-11-01 18:55:47",,
"secondary_g_offer_bgimg","https://www.alaskaair.com/planbook/?discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-01 18:55:47","2020-12-09 15:31:56",,
"secondary_g_offer_cta","https://www.alaskaair.com/planbook/?discountcode=hello2021&SITE_PREF=full","Book",,"2020-11-01 18:55:47","2020-12-09 15:32:00",,
